證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
057880,金融類元大99購02,"895,000",76,"196,450",0.25,0.25,0.19,0.19,-,0.08,0.17,495,0.27,10,0.00,
057881,SP黃豆群益9A購01,0,0,0,--,--,--,--, ,0.0,0.48,25,0.49,10,13.60,
057882,華通群益9A購03,0,0,0,--,--,--,--, ,0.0,0.35,25,0.36,10,29.70,
057883,中環群益98購01,"197,000",7,"48,390",0.22,0.27,0.22,0.25,+,0.07,0.21,25,0.22,10,6.45,
057884,華邦電群益98購02,"27,000",2,"11,190",0.47,0.47,0.32,0.32,+,0.02,0.25,25,0.27,10,12.50,
057885,台光電群益98購04,0,0,0,--,--,--,--, ,0.0,0.71,25,0.75,10,104.50,
057886,聯詠群益98購01,"20,000",1,"12,600",0.63,0.63,0.63,0.63,+,0.04,0.51,25,0.54,10,171.50,
057887,智原群益98購04,"10,000",1,"2,200",0.22,0.22,0.22,0.22,X,0.0,0.12,25,0.13,10,32.70,
057888,貿聯群益98購02,0,0,0,--,--,--,--, ,0.0,0.28,25,0.30,10,153.50,
057889,致新群益99購01,0,0,0,--,--,--,--, ,0.0,0.30,25,0.31,10,95.00,
05788P,臺股指永昌96售05,"35,000",7,"1,971,000",45.00,58.00,45.00,58.00,+,31.0,58.00,12,60.00,1,0.00,
057890,滬深反統一98購01,"1,000",1,"1,120",1.12,1.12,1.12,1.12, ,0.0,1.32,10,1.42,10,12.47,
057891,華新科統一9A購01,"51,000",3,"16,900",0.36,0.36,0.29,0.29,-,0.15,0.28,10,0.38,10,156.50,
057892,上証2X元富02購01,"5,000",1,"7,600",1.52,1.52,1.52,1.52,+,0.34,1.29,25,1.39,25,38.35,
057893,亞德客元富98購03,"168,000",11,"108,420",0.61,0.70,0.61,0.61,+,0.12,0.52,25,--,0,399.50,
057894,華通元富02購02,"55,000",2,"39,800",0.73,0.73,0.66,0.66,+,0.04,0.48,25,0.50,25,29.70,
057895,全新元富9B購01,0,0,0,--,--,--,--, ,0.0,0.02,499,0.19,25,74.20,
057896,嘉晶元富98購01,"336,000",39,"681,690",2.04,2.10,1.91,2.06,+,0.2,1.65,25,--,0,49.50,
057897,華通富邦99購01,"10,000",1,"1,000",0.10,0.10,0.10,0.10,-,0.01,0.10,20,0.11,10,29.70,
057898,元油2X永豐98購06,0,0,0,--,--,--,--, ,0.0,--,0,--,0,4.03,
057899,台積電永豐98購04,"5,000",1,"1,500",0.30,0.30,0.30,0.30,-,0.2,0.29,30,0.30,30,276.50,
05789P,臺股指永昌96售06,"46,000",12,"2,330,000",40.00,53.00,40.00,53.00,+,20.0,53.00,256,60.00,1,0.00,
057900,南亞科永豐98購01,0,0,0,--,--,--,--, ,0.0,0.04,30,0.07,30,59.20,
057901,大立光永豐98購04,0,0,0,--,--,--,--, ,0.0,0.23,499,--,0,"3,725.00",
057902,嘉晶永豐98購02,"309,000",11,"246,890",0.79,0.85,0.61,0.61,-,0.11,0.60,30,0.61,25,49.50,
057903,聯鈞永豐99購01,"123,000",9,"43,000",0.37,0.37,0.28,0.28,-,0.1,0.27,499,0.28,30,59.00,
057904,矽力永豐98購01,0,0,0,--,--,--,--, ,0.0,0.18,67,0.29,30,864.00,
057905,臺股指永豐98購06,0,0,0,--,--,--,--, ,0.0,0.03,99,0.34,39,0.00,
057906,福懋科中信99購01,0,0,0,--,--,--,--, ,0.0,0.20,30,0.21,30,0.00,
057907,台達電亞東99購01,0,0,0,--,--,--,--, ,0.0,0.31,10,0.36,10,118.00,
057908,國泰金亞東99購01,"10,000",1,"3,300",0.33,0.33,0.33,0.33,X,0.0,0.28,10,0.32,10,35.80,
057909,台光電兆豐98購01,"40,000",3,"20,400",0.52,0.52,0.48,0.48,-,0.02,0.43,10,0.45,10,104.50,
05790P,臺股指永昌96售07,"54,000",10,"3,192,000",41.00,67.00,41.00,67.00,+,38.9,67.00,15,72.00,1,0.00,
057910,華新科兆豐99購02,"287,000",6,"36,310",0.13,0.13,0.12,0.13, ,0.0,0.10,30,0.13,30,156.50,
057911,國巨日盛98購01,"17,000",1,"2,720",0.16,0.16,0.16,0.16,X,0.0,0.12,50,0.19,10,290.50,
057912,美律日盛99購01,"487,000",18,"317,010",0.68,0.70,0.60,0.60,-,0.03,0.60,50,0.66,10,125.00,
057913,健策日盛98購01,0,0,0,--,--,--,--, ,0.0,0.14,25,0.23,10,149.50,
057914,日月光日盛9A購01,"16,000",2,"4,800",0.30,0.30,0.30,0.30,-,0.09,0.28,25,0.29,25,59.30,
057915,台泥凱基98購01,"40,000",2,"24,400",0.63,0.63,0.59,0.59,-,0.08,0.51,100,0.52,10,38.85,
057916,國巨凱基98購13,"125,000",2,"30,000",0.25,0.25,0.20,0.20,-,0.05,0.14,100,0.20,10,290.50,
057917,台積電凱基98購17,"488,000",21,"619,680",1.41,1.45,1.04,1.06,-,0.11,0.29,14,--,0,276.50,
057918,旺宏凱基99購01,0,0,0,--,--,--,--, ,0.0,0.53,100,0.54,10,27.20,
057919,技嘉凱基98購03,"5,000",1,"2,350",0.47,0.47,0.47,0.47,X,0.0,0.41,100,0.42,10,43.75,
05791P,臺股指中信99售06,"716,000",70,"2,649,560",3.47,4.50,3.44,4.50,+,1.23,4.34,499,4.80,5,0.00,
057920,奇力新凱基98購08,0,0,0,--,--,--,--, ,0.0,0.42,100,0.43,10,82.50,
057921,可成凱基98購09,0,0,0,--,--,--,--, ,0.0,0.10,100,0.12,10,187.00,
057922,華新科凱基99購01,0,0,0,--,--,--,--, ,0.0,0.21,100,0.27,10,156.50,
057923,晶豪科凱基98購02,"111,000",8,"65,370",0.62,0.62,0.44,0.44,-,0.14,0.43,100,0.44,10,28.50,
057924,健策凱基98購02,"120,000",3,"25,900",0.22,0.22,0.21,0.21,+,0.02,0.15,100,0.17,10,149.50,
057925,貿聯凱基99購01,"30,000",3,"10,600",0.37,0.37,0.33,0.33,X,0.0,0.26,100,0.27,10,153.50,
057926,帆宣凱基98購02,0,0,0,--,--,--,--, ,0.0,0.20,100,0.21,10,57.80,
057927,勤誠凱基98購01,"282,000",10,"186,600",0.63,0.68,0.59,0.59,-,0.01,0.52,104,0.53,10,73.30,
057928,鈺齊凱基98購02,0,0,0,--,--,--,--, ,0.0,0.29,100,0.31,10,85.90,
057929,上銀群益98購02,0,0,0,--,--,--,--, ,0.0,0.39,25,0.41,10,219.00,
05792P,臺股指中信99售07,"27,000",2,"116,310",4.18,4.41,4.18,4.41,-,0.32,4.60,499,--,0,0.00,
057930,旺宏群益99購04,"12,000",3,"19,780",1.58,1.70,1.58,1.65,+,0.13,1.19,25,1.29,10,27.20,
057931,正崴群益98購02,0,0,0,--,--,--,--, ,0.0,0.24,25,0.25,10,27.80,
